date,GOI,Wheat,Maize,Barley,Soyabean,Rice
2000-01-03,96.67,96.95,96.92,98.5,94.91,99.19
2000-01-04,97.01,97.09,97.1,98.56,95.62,99.45
2000-01-05,97.09,97.23,97.27,98.63,95.57,99.72
2000-01-06,97.4,97.36,97.45,98.7,96.27,99.77
2000-01-07,97.44,98.45,94.3,98.77,96.73,99.99
2000-01-08,97.6266666667,98.59,94.8233333333,98.86,96.8833333333,100.01
2000-01-09,97.8133333333,98.73,95.3466666667,98.95,97.0366666667,100.03
2000-01-10,98.0,98.87,95.87,99.04,97.19,100.05
2000-01-11,98.55,99.28,97.45,99.31,97.64,100.11
2000-01-12,99.54,100.01,101.11,99.58,98.1,100.18
2000-01-13,100.06,100.56,102.16,99.85,98.55,100.24
2000-01-14,99.7,100.94,97.97,100.12,99.01,100.21
2000-01-15,99.9666666667,100.993333333,99.1933333333,100.163333333,99.1966666667,100.193333333
2000-01-16,100.233333333,101.046666667,100.416666667,100.206666667,99.3833333333,100.176666667
2000-01-17,100.5,101.1,101.64,100.25,99.57,100.16
2000-01-18,100.8,101.17,102.16,100.39,100.12,100.11
2000-01-19,101.18,101.51,102.68,100.53,100.68,100.05
2000-01-20,101.22,101.31,102.16,100.66,101.24,100.0
2000-01-21,101.0,101.47,99.02,100.8,101.79,100.12
2000-01-22,101.426666667,101.583333333,100.94,100.82,102.08,100.12
2000-01-23,101.853333333,101.696666667,102.86,100.84,102.37,100.12
2000-01-24,102.28,101.81,104.78,100.86,102.66,100.12
2000-01-25,102.37,101.44,104.26,100.93,103.52,100.12
2000-01-26,102.3,100.88,103.21,101.0,104.38,100.12
2000-01-27,102.77,101.22,103.73,101.07,105.24,100.12
2000-01-28,102.27,100.76,99.54,101.13,106.1,100.12
2000-01-29,102.126666667,100.706666667,99.4366666667,101.2,105.78,100.09
2000-01-30,101.983333333,100.653333333,99.3333333333,101.27,105.46,100.06
2000-01-31,101.84,100.6,99.23,101.34,105.14,100.03
2000-02-01,101.42,100.44,98.91,101.54,104.17,99.94
2000-02-02,101.02,100.28,98.6,101.74,103.21,99.86
2000-02-03,100.59,100.12,98.28,101.95,102.25,99.77
2000-02-04,100.17,99.87,97.97,102.15,101.29,99.94
2000-02-05,100.31,99.97,98.4933333333,102.15,101.356666667,99.9866666667
2000-02-06,100.45,100.07,99.0166666667,102.15,101.423333333,100.033333333
2000-02-07,100.59,100.17,99.54,102.15,101.49,100.08
2000-02-08,101.01,100.47,101.11,102.15,101.69,100.22
2000-02-09,101.24,101.22,100.59,102.15,101.9,100.36
2000-02-10,101.47,101.97,100.06,102.15,102.1,100.5
2000-02-11,101.69,102.72,99.54,102.15,102.3,100.46
2000-02-12,101.703333333,102.713333333,99.5066666667,102.126666667,102.35,100.506666667
2000-02-13,101.716666667,102.706666667,99.4733333333,102.103333333,102.4,100.553333333
2000-02-14,101.73,102.7,99.44,102.08,102.45,100.6
2000-02-15,101.68,102.41,99.33,102.01,102.6,100.73
2000-02-16,101.55,102.04,99.23,101.95,102.76,100.87
2000-02-17,101.56,101.93,99.12,101.88,102.91,101.01
2000-02-18,101.53,101.92,98.49,101.81,103.06,101.28
2000-02-19,101.506666667,101.87,98.42,103.32,102.926666667,101.2
2000-02-20,101.483333333,101.82,98.35,104.83,102.793333333,101.12
2000-02-21,101.46,101.77,98.28,106.34,102.66,101.04
2000-02-22,101.09,101.28,98.07,106.14,102.25,100.8
2000-02-23,100.53,100.51,97.34,105.94,101.84,100.56
2000-02-24,100.3,100.46,97.13,105.73,101.44,100.32
2000-02-25,99.85,100.23,95.87,105.53,101.03,100.08
2000-02-26,99.8033333333,99.9866666667,95.96,105.53,101.1,100.003333333
2000-02-27,99.7566666667,99.7433333333,96.05,105.53,101.17,99.9266666667
2000-02-28,99.71,99.5,96.14,105.53,101.24,99.85
2000-02-29,99.78,99.21,96.92,105.53,101.44,99.62
2000-03-01,99.87,99.19,97.45,105.53,101.64,99.4
2000-03-02,99.93,99.0,97.97,105.53,101.84,99.17
2000-03-03,99.8,98.54,97.97,105.53,102.05,98.72
2000-03-04,99.8066666667,98.6233333333,97.9,105.463333333,102.05,98.69
2000-03-05,99.8133333333,98.7066666667,97.83,105.396666667,102.05,98.66
2000-03-06,99.82,98.79,97.76,105.33,102.05,98.63
2000-03-07,99.84,99.03,97.55,105.13,102.05,98.55
2000-03-08,99.88,99.28,97.34,104.92,102.05,98.46
2000-03-09,99.9,99.53,97.13,104.72,102.05,98.38
2000-03-10,99.92,99.78,96.92,104.52,102.05,98.29
2000-03-11,100.176666667,99.9833333333,97.62,104.52,102.32,98.2166666667
2000-03-12,100.433333333,100.186666667,98.32,104.52,102.59,98.1433333333
2000-03-13,100.69,100.39,99.02,104.52,102.86,98.07
2000-03-14,101.55,100.99,101.64,104.52,103.67,97.86
2000-03-15,101.52,100.88,100.06,104.52,104.48,97.64
2000-03-16,101.76,100.78,100.06,104.52,105.29,97.42
2000-03-17,102.56,101.47,102.16,104.52,106.1,97.2
2000-03-18,102.413333333,101.296666667,101.81,104.52,106.016666667,97.1266666667
2000-03-19,102.266666667,101.123333333,101.46,104.52,105.933333333,97.0533333333
2000-03-20,102.12,100.95,101.11,104.52,105.85,96.98
2000-03-21,101.64,100.08,100.59,104.52,105.59,96.76
2000-03-22,101.4,100.01,99.54,104.52,105.34,96.54
2000-03-23,100.71,99.23,97.45,104.52,105.09,96.32
2000-03-24,100.49,98.8,97.97,104.52,104.83,95.75
2000-03-25,100.633333333,98.9033333333,98.1433333333,104.45,105.1,95.73
2000-03-26,100.776666667,99.0066666667,98.3166666667,104.38,105.37,95.71
2000-03-27,100.92,99.11,98.49,104.31,105.64,95.69
2000-03-28,100.67,99.05,95.35,104.11,106.45,95.62
2000-03-29,101.1,99.44,95.87,103.91,107.26,95.56
2000-03-30,101.93,100.01,98.49,103.7,108.07,95.5
2000-03-31,102.83,101.03,100.59,103.5,108.88,95.44
2000-04-01,102.753333333,101.093333333,100.483333333,103.703333333,108.646666667,95.3766666667
2000-04-02,102.676666667,101.156666667,100.376666667,103.906666667,108.413333333,95.3133333333
2000-04-03,102.6,101.22,100.27,104.11,108.18,95.25
2000-04-04,102.38,101.42,99.96,104.72,107.47,95.06
2000-04-05,102.14,101.61,99.65,105.33,106.76,94.87
2000-04-06,101.92,101.81,99.33,105.94,106.05,94.69
